Team #,Auto NOTES A,AUTO NOTES S,Teleop NOTES A,Teleop NOTES S,Teleop NOTES T
4593,0,1,1,1,0
1108,0,1,0,5,0
1339,0,3,0,4,0
1799,0,0,1,1,0
9068,0,0,5,0,0
662,0,2,0,3,0
1011,0,0,0,0,0
2259,0,0,0,3,0
1303,0,0,0,0,0
4388,0,3,0,10,0
5493,0,0,0,7,0
3729,3,0,0,1,0
3807,0,0,0,0,0
2240,0,1,0,2,0
2261,0,0,0,0,0
4010,0,1,0,9,0
2036,0,0,0,6,0
4418,0,0,2,7,0
1977,0,1,0,5,0
2945,0,1,0,4,0
4293,0,2,5,4,0
7485,0,1,1,0,0
3374,0,1,0,7,0
159,0,1,0,3,0
4418,0,1,2,1,0
1138,0,1,0,0,0
1868,0,0,0,0,0
1619,0,1,3,5,0
5690,0,1,6,0,0
4550,0,1,0,5,0
4418,0,1,2,1,0
568,0,0,0,0,0
3648,0,1,5,2,0
4068,0,0,4,0,0
1822,0,1,0,8,0
9552,0,0,0,2,0
7243,0,0,0,2,0
3200,0,1,6,1,0
4009,0,2,0,7,0
1410,0,1,0,9,0
5232,0,2,0,2,0
4499,0,2,5,2,1
3006,0,0,0,5,0
2996,0,1,0,6,0
2083,0,2,0,0,0
9586,0,0,0,2,0
4944,0,1,4,2,0
7497,0,0,0,1,0
2259,0,0,0,1,0
1108,0,1,3,3,0
9112,0,0,0,0,0
9068,1,0,0,0,0
8334,0,0,6,0,0
8334,0,0,6,0,0
159,0,1,0,0,0
2240,0,2,0,9,0
1339,0,0,5,0,0
7485,0,1,1,0,0
5493,0,1,0,4,0
3374,0,0,0,6,0
662,0,0,0,5,0
2945,0,0,0,0,0
1822,0,1,0,8,0
9552,0,1,0,2,0
2036,0,1,0,3,0
4550,0,1,5,3,0
4418,0,1,4,4,0
4068,0,0,1,0,0
1138,0,1,0,7,0
1619,0,0,8,6,0
5232,0,0,0,2,0
4418,0,1,4,4,0
3006,0,3,0,3,0
568,0,0,2,2,0
4593,0,1,0,3,0
2261,0,0,0,0,0
4009,0,1,0,6,0
7243,0,0,0,0,0
4499,0,3,4,2,1
3200,0,1,3,0,0
1977,0,0,0,4,0
3807,0,1,0,0,0
1303,0,0,0,0,0
2083,0,2,0,8,0
5690,0,1,6,0,0
3648,0,2,5,1,0
1011,0,0,0,0,0
4293,0,3,1,4,0
9586,0,0,0,0,0
1799,0,0,0,0,0
4944,0,0,4,0,0
3729,0,0,5,3,0
4388,0,2,0,10,0
1868,0,0,0,9,0
1410,0,4,0,7,0
8334,1,0,5,0,0
8334,0,0,5,0,0
7497,0,0,0,0,0
2996,0,1,0,5,0
4068,0,0,0,0,0
4010,0,1,0,6,0
1339,0,0,4,0,0
1619,0,1,5,0,0
159,0,0,0,0,0
4418,0,2,4,5,0
1108,0,1,1,6,0
2945,0,1,0,6,0
5232,0,1,0,5,0
7243,0,0,0,0,0
4418,0,2,4,5,0
2259,0,0,0,0,0
2261,0,9,0,0,0
1138,0,2,3,2,0
2083,0,2,6,3,0
4009,0,1,0,5,0
4550,0,0,6,5,0
3200,0,0,0,0,0
2240,0,1,0,11,0
1303,0,0,0,0,0
9552,0,0,0,0,0
9112,0,0,0,0,0
4944,0,0,3,0,0
3648,0,1,4,0,0
662,0,1,0,4,0
1977,0,1,0,5,0
4593,0,1,0,2,0
4388,0,3,1,6,0
8334,1,0,5,0,0
8334,1,0,5,0,0
4010,0,0,0,5,0
1868,0,1,2,4,0
9586,0,0,0,3,0
9068,1,0,0,0,0
5493,0,1,0,3,0
4499,0,0,0,0,0
2996,0,1,0,7,0
3729,0,3,3,5,0
1822,0,1,0,7,0
4293,0,2,5,2,0
1799,0,0,2,0,0
7485,0,1,0,4,0
1011,0,0,0,0,0
3807,0,0,0,0,0
4010,0,1,0,2,0
7497,0,0,0,1,0
3006,0,4,4,9,0
3374,0,0,0,1,0
159,0,0,1,1,0
568,0,0,2,0,0
3200,0,1,0,0,0
2083,0,0,5,0,0
1410,0,2,0,7,0
2036,0,0,0,3,0
4068,0,0,0,0,0
662,0,2,0,0,0
1303,0,0,0,0,0
9112,0,0,0,0,0
8334,1,0,4,0,0
4550,0,4,4,6,0
8334,1,0,4,0,0
4418,0,1,4,4,0
4593,0,1,0,4,0
2261,0,0,0,0,0
2945,0,3,0,5,0
9586,0,0,0,0,0
9552,0,0,0,1,0
4418,0,1,4,4,0
3648,0,2,4,1,0
2996,0,2,0,9,0
1138,0,1,3,3,0
4010,0,1,0,3,0
7485,0,1,0,1,0
1822,0,1,0,3,0
1339,0,0,1,12,0
4009,0,2,0,7,0
1799,0,0,3,0,0
9068,1,0,0,0,0
7497,0,0,0,1,0
2036,0,0,0,1,0
4944,0,0,2,0,0
5232,0,1,0,5,0
7243,0,1,0,0,0
3006,0,4,0,1,0
3374,0,1,1,3,0
1011,0,0,0,0,0
1977,0,0,0,0,0
2240,0,1,0,11,0
1108,0,0,5,0,0
1410,0,3,0,9,0
1619,0,0,0,0,0
568,0,0,0,0,0
3729,0,1,4,3,0
2259,0,0,0,1,0
4388,0,3,0,10,0
5690,0,1,3,2,0
4499,0,2,0,5,0
3807,0,0,0,1,0
4593,0,1,0,9,0
1138,0,1,3,0,0
4293,0,0,5,2,0
1868,0,3,0,4,0
5493,0,1,0,6,0
159,0,1,3,0,0
3648,0,1,3,3,0
4418,0,1,3,3,0
1303,0,0,0,0,0
1822,0,1,0,9,0
5690,0,2,5,2,0
7497,0,0,0,1,0
4418,0,1,2,3,0
2261,0,0,0,1,0
2083,0,2,0,9,0
9068,1,0,3,0,0
8334,0,0,1,0,0
5232,0,0,0,8,0
8334,0,0,1,0,0
7485,0,1,0,1,0
9586,0,0,0,0,0
1410,0,4,0,10,0
7243,0,0,0,0,0
4550,0,2,3,1,0
3374,0,0,0,0,0
3200,0,0,4,2,0
4068,0,0,0,0,0
1011,0,0,0,0,0
2945,0,3,0,7,0
1339,0,0,0,4,0
1799,0,0,4,0,0
568,0,0,0,0,0
662,0,0,0,0,0
2240,0,0,0,4,0
4293,0,4,2,0,0
1619,0,0,1,12,0
3006,0,1,0,7,0
9112,0,0,0,0,0
3807,0,1,0,2,0
4388,0,1,0,7,0
9112,0,0,0,0,0
2036,0,0,0,3,0
4499,0,1,3,0,1
2996,0,1,0,9,0
3729,0,4,2,5,0
1108,0,1,5,2,0
9552,0,1,0,0,0
5690,0,1,2,1,0
5493,0,1,0,3,0
1977,0,1,0,3,0
2259,0,0,0,3,0
1868,0,1,0,0,0
4009,0,1,0,0,0
4944,0,2,3,4,0
5232,0,1,0,5,0
4593,0,1,0,1,0
1339,0,0,0,10,0
4550,0,4,5,4,0
7485,0,1,1,1,0
7497,0,0,0,0,0
3648,0,0,0,7,0
3374,0,1,0,1,0
1303,0,0,0,0,0
9068,1,0,5,0,0
568,0,0,0,0,0
3200,0,1,2,1,0
1138,0,1,0,8,0
1822,0,1,1,10,0
9586,0,0,0,2,0
8334,1,0,3,0,0
8334,1,0,3,0,0
159,0,1,0,3,0
4418,0,0,2,7,0
1011,0,0,2,0,0
3729,0,4,3,3,0
4388,0,2,0,11,0
1619,0,1,5,5,0
9112,0,0,0,0,0
4418,0,1,3,3,0
4068,0,1,4,1,0
2240,0,0,0,10,0
2259,0,0,0,3,0
2261,0,0,0,4,0
4293,0,1,2,1,0
1410,0,3,0,6,0
5493,0,1,0,4,0
2945,0,0,0,6,0
4009,0,1,0,8,0
5690,0,1,4,2,0
4944,0,0,0,2,0
2996,0,1,0,7,0
2036,0,2,0,2,0
1868,0,1,4,0,0
9552,0,0,0,4,0
1799,0,0,4,0,0
3006,0,2,0,9,0
662,0,2,0,2,0
1977,0,1,0,2,0
3807,0,1,0,1,0
1108,0,0,6,1,0
2083,0,1,5,0,0
4010,0,0,0,1,0
7243,0,1,0,0,0
4499,0,4,0,11,0
4418,0,1,3,3,0
3200,0,1,0,6,0
3374,0,0,0,0,0
4593,0,2,0,5,0
4388,0,3,0,7,0
4550,0,4,1,1,0
159,0,1,0,4,0
2259,0,0,0,2,0
2261,0,0,0,2,0
9586,0,0,0,9,0
1619,0,1,4,4,0
9112,0,0,0,0,0
7497,0,0,0,1,0
4068,0,1,0,4,0
3807,0,1,0,3,0
1410,0,4,0,8,0
4944,0,2,5,1,0
8334,0,0,0,0,0
8334,0,0,0,0,0
7485,0,1,1,4,0
568,0,0,0,0,0
2996,0,1,0,5,0
1303,0,0,0,0,0
2945,0,3,0,5,0
1868,0,2,0,5,0
5232,0,0,0,2,0
2036,0,0,0,0,0
4010,0,1,0,6,0
4293,0,3,0,6,0
5690,0,1,1,7,0
9068,1,0,2,0,0
7243,0,0,0,0,0
1977,0,1,0,3,0
3729,0,3,1,5,0
1108,0,1,3,2,0
1822,0,1,0,8,0
3006,0,1,0,5,0
1011,0,0,2,0,0
1138,0,0,3,1,0
1339,0,0,0,5,0
9552,0,0,0,0,0
1799,0,0,1,0,0
4499,0,1,4,6,
3648,0,4,5,1,0
662,0,1,0,1,0
2083,0,2,0,5,0
4009,0,4,0,6,0
5493,0,1,0,3,0
