Team,Climb,Park,Leave
159,0,7,1
568,0,3,0
662,3,4,3
1011,3,2,1
1108,5,1,6
1138,0,4,5
1303,0,4,6
1339,2,4,4
1410,6,1,7
1619,0,7,5
1799,0,7,1
1822,5,2,6
1868,0,2,7
1977,4,1,6
2036,0,4,5
2083,4,1,5
2240,4,2,6
2259,0,5,1
2261,0,6,4
2945,0,4,6
2996,3,4,6
3006,3,1,6
3200,2,2,0
3374,3,4,6
3648,2,3,7
3729,3,1,7
3807,1,4,1
4009,4,2,7
4010,5,1,3
4068,6,0,7
4293,0,6,6
4388,3,2,6
4418,0,6,7
4499,5,2,6
4550,0,4,5
4593,4,3,6
4944,3,3,5
5232,6,1,7
5493,0,6,2
5690,4,2,6
7243,0,5,4
7479,0,5,7
7485,1,6,1
7737,0,6,0
8334,5,1,2
9068,0,3,5
9112,0,4,4
9552,0,6,1
9586,0,3,0
