Team,Climb,Park,Leave
1714,0,0,0
1716,0,0,0
1792,0,0,0
1806,0,0,0
2039,0,0,0
2062,0,0,0
2129,0,0,0
2169,0,0,0
2175,0,0,0
2227,0,0,0
2264,0,0,0
2472,0,0,0
2491,0,0,0
2501,0,0,0
2512,0,0,0
2574,0,0,0
2846,0,0,0
2855,0,0,0
2987,0,0,0
3023,0,0,0
3082,0,0,0
3100,0,0,0
3130,0,0,0
3206,0,0,0
3212,0,0,0
3297,0,0,0
3418,0,0,0
3883,0,0,0
4166,0,0,0
4182,0,0,0
4229,0,0,0
4230,0,0,0
4623,0,0,0
4703,0,0,0
4786,0,0,0
5232,0,0,0
5271,0,0,0
5275,0,0,0
5339,0,0,0
5720,0,0,0
5913,0,0,0
6044,0,0,0
6045,0,0,0
6047,0,0,0
6132,0,0,0
6147,0,0,0
6419,0,0,0
6574,0,0,0
6758,0,0,0
7273,0,0,0
7530,0,0,0
7619,0,0,0
8122,0,0,0
8700,0,0,0
8803,0,0,0
