Team #,PointsinAUTO,Amp/Speaker,TeleopNOTESA,TeleopNOTESS,Climb,TeleopNOTESTrap,DriverRating,HumanPlayerRating,CoopertitionButton,"BotRating, Mobility, Park "
1714,2,0,1,8,0,1,1,5,0,1,1,1
2062,7,0,3,0,0,0,0,3,0,2,0,0
6132,2,0,0,1,1,1,1,4,1,5,1,0
3130,2,0,9,0,0,0,4,1,0,3,0,0
2175,7,0,5,2,0,1,3,2,0,5,1,0
7619,5,0,7,1,1,1,2,4,1,4,1,0
2227,5,0,1,7,0,1,5,0,0,3,1,0
2501,5,0,5,2,0,0,0,2,1,4,1,0
5232,5,0,0,7,0,0,2,1,0,3,0,1
2501,5,0,4,5,1,0,1,5,0,3,1,0
2227,2,0,0,9,1,0,1,3,1,2,1,0
4703,10,0,3,5,1,1,4,4,1,2,0,1
3130,5,0,0,1,0,1,2,4,1,4,0,0
3212,10,0,0,7,0,0,3,5,1,2,0,0
4182,5,0,5,3,0,1,0,2,0,2,0,1
5271,7,0,6,0,1,1,1,1,0,2,0,1
8803,5,0,3,6,0,1,1,0,1,3,0,1
5271,10,0,0,3,0,1,0,4,1,0,1,1
3297,7,0,6,0,0,1,2,3,1,4,1,0
2512,2,0,4,6,0,0,1,5,1,0,0,0
3130,5,0,1,5,1,0,2,0,1,4,0,0
2169,10,0,0,8,1,1,5,2,0,3,1,1
8803,5,0,0,6,1,0,0,0,0,3,1,1
2846,7,0,4,5,0,1,2,0,0,4,1,0
6419,10,0,0,8,0,1,3,0,0,5,1,0
6419,10,0,2,7,1,0,2,4,0,2,1,0
6047,5,0,2,6,0,1,4,0,1,2,1,1
3418,5,0,6,4,1,1,1,3,0,5,0,1
4623,7,0,6,0,0,0,2,5,0,4,1,0
4166,5,0,0,4,1,0,1,4,0,5,1,1
8700,2,0,2,6,0,0,0,2,0,2,0,0
1716,7,0,2,6,1,1,2,5,0,1,0,1
5271,10,0,2,5,0,0,2,4,1,2,1,0
4229,2,0,3,0,0,1,0,4,0,3,1,0
2129,2,0,0,9,0,0,3,1,0,1,0,1
3418,5,0,1,9,1,0,2,3,1,2,1,1
6419,5,0,1,5,1,0,0,4,1,2,0,0
