Team,Climb,Park,Leave
1714,5,1,0
1716,6,1,8
1792,6,1,4
1806,8,0,8
2039,4,1,1
2062,8,0,1
2129,3,5,1
2169,8,0,6
2175,7,1,4
2227,4,1,2
2264,6,2,0
2472,5,1,7
2491,5,0,1
2501,4,1,3
2512,8,0,4
2574,6,0,4
2846,4,4,3
2855,8,0,0
2987,8,0,7
3023,7,0,3
3082,8,0,6
3100,6,0,1
3130,8,0,0
3206,6,1,0
3212,8,0,1
3297,3,1,0
3418,7,0,1
3883,6,0,1
4166,8,0,5
4182,7,0,4
4229,8,0,0
4230,6,1,2
4623,6,1,3
4703,4,4,1
4786,7,0,1
5232,5,1,2
5271,8,0,7
5275,4,0,2
5339,8,0,1
5720,7,0,2
5913,6,0,0
6044,8,0,7
6045,6,2,1
6047,8,0,8
6132,8,0,7
6147,3,3,0
6419,7,0,4
6574,8,0,2
6758,7,0,5
7273,8,0,0
7530,8,0,1
7619,8,0,1
8122,4,0,0
8700,5,0,8
8803,4,1,0
