Team #,PointsinAUTO,Amp/Speaker,TeleopNOTESA,TeleopNOTESS,Climb,TeleopNOTESTrap,DriverRating,HumanPlayerRating,CoopertitionButton,BotRating
2987,2,0,3,5,1,0,1,4,0,1
6044,7,0,0,5,1,0,0,5,0,1
4230,2,0,4,0,0,1,5,0,1,5
3082,5,0,6,1,1,0,3,3,1,3
3212,10,0,0,7,0,0,3,0,0,3
1806,7,0,0,9,1,1,4,3,0,2
3212,5,0,0,10,0,1,2,3,1,0
5913,2,0,1,3,1,0,0,1,1,4
8122,5,0,7,3,0,1,1,0,0,5
4786,10,0,4,1,1,1,0,3,1,4
2574,7,0,6,4,0,1,1,1,1,4
6147,5,0,2,4,0,1,4,0,0,1
6132,7,0,1,8,0,0,1,5,0,0
3206,5,0,4,6,1,0,2,4,1,3
6574,7,0,1,3,0,1,4,1,0,0
3418,5,0,3,5,0,0,2,2,1,4
5232,2,0,4,6,0,1,2,2,0,3
6758,5,0,2,6,0,1,5,4,1,1
1716,5,0,2,8,1,1,1,3,0,1
7530,10,0,7,3,1,1,4,5,1,3
4229,10,0,2,3,0,1,5,2,0,2
7273,10,0,0,10,1,0,5,2,1,2
3418,5,0,6,3,0,0,0,2,0,5
2501,2,0,1,8,0,0,2,4,1,5
4182,5,0,1,9,1,0,4,3,0,4
7273,7,0,2,5,1,1,5,5,0,5
1714,2,0,10,0,0,0,0,4,0,0
4230,2,0,0,5,1,1,4,4,1,5
3130,7,0,3,3,1,0,3,4,1,2
6132,10,0,6,0,0,0,0,2,0,5
2062,5,0,2,7,0,1,3,2,1,2
5271,7,0,10,0,0,1,2,2,1,5
3883,5,0,2,7,0,1,4,2,0,5
5275,7,0,0,10,1,0,3,0,0,4
8122,7,0,6,2,1,0,0,4,0,0
4786,10,0,4,6,1,0,0,4,0,3
6574,5,0,0,10,0,0,0,3,1,2
2512,5,0,2,6,0,1,1,0,0,3
2987,10,0,1,9,1,0,4,1,1,0
2987,7,0,0,4,0,1,2,4,0,5
5275,5,0,0,10,1,1,5,0,1,0
4623,10,0,0,6,0,1,2,5,1,2
2501,5,0,1,8,1,0,1,3,1,0
7530,7,0,4,6,0,1,4,4,0,1
2175,2,0,2,8,1,0,1,0,0,5
7619,10,0,4,5,1,0,1,1,1,4
6044,5,0,1,9,1,0,0,1,1,0
8803,7,0,1,8,1,0,5,4,1,4
4229,10,0,0,9,0,1,0,2,0,0
6574,2,0,1,1,0,1,4,3,1,5
4786,5,0,2,8,1,0,4,0,0,1
2574,10,0,3,7,0,0,1,2,0,1
5720,10,0,0,9,0,0,3,2,0,0
4166,7,0,2,8,1,0,0,3,1,4
6758,7,0,2,4,0,1,0,5,1,4
4229,2,0,4,2,0,1,2,1,0,1
4166,10,0,3,7,0,0,0,2,1,4
4166,7,0,8,1,0,1,3,1,0,3
4786,2,0,0,10,1,1,0,1,0,2
2987,5,0,3,4,0,1,2,1,0,4
2491,5,0,3,6,0,0,5,5,1,1
2062,10,0,2,7,0,1,0,5,0,1
7619,2,0,1,6,1,1,3,4,1,0
2227,7,0,5,2,0,1,5,2,0,0
3082,2,0,3,5,0,0,5,3,0,0
6147,7,0,9,1,0,0,2,1,0,5
2472,5,0,0,4,1,1,2,5,0,2
7619,5,0,1,5,0,0,4,3,0,4
4703,2,0,3,3,0,0,0,1,0,2
3206,10,0,0,10,0,1,5,4,1,3
3100,2,0,5,5,1,1,0,2,0,5
8122,7,0,0,6,1,1,2,3,0,5
3100,5,0,2,7,1,1,1,0,1,4
1714,5,0,1,9,1,0,0,1,0,5
6147,10,0,8,0,0,1,4,2,1,4
6758,7,0,3,1,0,0,3,5,0,3
1792,5,0,8,2,1,1,5,5,1,0
3206,7,0,1,6,1,0,5,4,1,2
2062,10,0,1,8,1,1,0,2,0,0
6047,5,0,0,10,0,0,4,5,1,1
2062,5,0,6,4,1,0,1,5,1,2
2062,5,0,7,3,1,0,5,0,0,4
2227,7,0,2,7,0,0,5,0,0,2
2491,2,0,6,2,1,1,5,4,0,4
2129,2,0,4,0,0,1,1,5,0,1
2846,2,0,5,0,0,0,5,5,1,5
1716,5,0,2,8,1,1,5,0,1,4
5275,10,0,6,4,0,1,2,2,0,1
4786,5,0,3,6,0,1,1,4,1,3
3297,10,0,0,9,0,1,0,3,0,1
2264,2,0,2,8,1,1,3,1,1,0
6045,5,0,7,3,0,0,5,0,1,1
3130,2,0,5,3,1,0,1,3,1,5
3297,2,0,0,8,1,0,3,3,0,3
2039,7,0,0,5,1,0,4,4,1,2
6419,2,0,6,3,0,1,1,0,1,0
2264,10,0,4,1,0,1,0,0,1,4
6574,10,0,1,5,1,0,1,4,1,4
2227,5,0,0,8,0,0,4,5,0,1
2512,7,0,1,2,0,1,5,4,1,4
2512,7,0,1,9,0,0,0,1,0,1
2574,5,0,0,7,1,0,5,0,1,4
2264,10,0,0,10,1,0,3,5,0,1
6419,10,0,10,0,1,0,1,4,1,4
4182,10,0,6,4,0,1,5,3,1,2
2129,5,0,0,8,1,0,0,5,0,5
6044,2,0,0,10,1,0,5,1,1,2
5271,7,0,8,1,1,0,5,1,0,1
2039,5,0,0,9,0,1,1,4,1,0
5720,10,0,0,10,0,1,0,2,0,0
3082,7,0,2,7,0,0,0,2,1,2
7273,10,0,3,3,0,0,2,1,1,2
6758,2,0,5,5,0,1,4,2,1,5
7619,5,0,1,6,0,1,4,3,0,5
5720,10,0,0,4,1,0,0,3,0,4
2227,5,0,0,10,1,0,5,0,1,4
7273,7,0,1,9,1,0,2,1,1,4
3130,2,0,0,10,0,0,0,2,1,2
5339,2,0,4,0,0,0,0,0,1,1
8700,2,0,7,2,0,0,5,5,1,3
4230,5,0,3,3,1,1,0,3,0,1
5275,2,0,2,3,0,0,2,2,0,3
8122,2,0,0,10,1,0,0,1,0,0
2501,5,0,0,9,1,0,1,2,0,4
3418,2,0,3,5,0,1,5,3,0,2
6045,2,0,6,1,0,0,4,4,0,0
1792,7,0,4,2,1,0,3,3,1,2
2846,5,0,8,2,1,0,2,5,0,1
4229,10,0,6,4,0,0,0,4,0,2
3212,7,0,1,3,1,1,3,0,0,4
8122,7,0,1,1,0,1,0,1,1,4
3130,7,0,3,3,0,1,3,4,0,3
2175,10,0,0,10,0,1,2,4,0,0
5720,2,0,0,3,1,0,1,3,1,4
1792,2,0,5,4,1,1,0,4,1,2
6132,2,0,0,5,0,1,5,3,1,4
2846,10,0,1,4,0,1,1,5,0,5
5913,5,0,0,7,1,1,3,2,0,1
2129,7,0,1,6,1,1,2,1,0,1
2855,2,0,3,2,0,0,1,4,1,3
4703,7,0,4,1,0,0,3,5,0,2
5339,5,0,0,8,1,0,0,4,0,5
5232,2,0,2,8,0,0,2,5,1,1
2574,5,0,5,5,0,0,3,5,0,1
2175,5,0,3,2,1,1,5,2,0,2
7530,2,0,0,10,0,1,1,4,0,2
2574,7,0,5,4,0,1,1,4,1,4
6132,7,0,1,7,0,1,2,2,0,3
4182,2,0,4,0,0,0,4,2,0,3
2491,10,0,1,5,0,0,0,3,1,2
2129,2,0,5,4,1,0,1,1,1,0
5275,2,0,2,3,1,1,3,2,1,2
1716,7,0,1,4,0,0,0,1,1,3
2472,5,0,10,0,1,0,1,3,1,5
4703,7,0,0,0,0,0,5,4,0,0
3418,7,0,4,1,1,0,4,4,1,2
3297,5,0,6,1,0,0,0,2,1,5
6044,2,0,2,5,1,1,0,4,0,4
1716,2,0,0,10,0,0,3,2,0,2
7530,5,0,0,10,1,0,4,2,0,3
8700,5,0,6,2,0,1,5,4,1,1
2175,5,0,2,8,1,0,4,0,1,2
3212,2,0,8,2,0,1,3,2,1,3
2169,5,0,1,2,0,0,4,2,1,2
8700,7,0,2,2,1,0,0,3,0,4
3297,10,0,5,1,0,1,3,0,0,3
3297,10,0,1,5,0,1,2,1,1,5
2039,7,0,0,10,0,1,3,3,0,0
2169,5,0,8,0,1,0,1,4,1,2
2472,5,0,1,4,0,1,1,1,1,5
3212,10,0,6,0,0,0,0,3,0,3
6574,2,0,3,5,1,0,1,3,1,0
5913,2,0,3,6,1,1,4,1,1,3
5275,5,0,0,6,1,1,4,2,1,1
2169,10,0,2,7,0,1,0,4,1,5
2039,7,0,8,0,1,0,5,0,1,1
2501,10,0,3,5,1,1,1,1,1,4
6047,2,0,5,3,0,1,4,5,0,2
4703,7,0,4,2,1,0,3,1,0,3
4623,5,0,2,6,0,0,2,0,1,2
5913,5,0,5,2,1,0,3,1,1,2
2491,7,0,1,8,0,0,2,5,1,1
6419,5,0,2,7,1,0,3,4,1,3
4230,7,0,0,10,1,0,2,2,0,4
7273,7,0,3,6,0,1,1,5,1,5
2491,2,0,5,2,1,0,1,5,0,1
5339,2,0,3,4,1,0,4,5,0,5
5232,7,0,9,0,0,0,0,2,0,2
3100,2,0,9,0,1,1,5,4,0,4
3206,7,0,1,9,1,1,5,4,0,2
7273,10,0,0,9,0,1,3,2,0,4
1806,10,0,1,7,0,0,1,0,0,2
3212,10,0,3,6,0,1,2,1,0,0
